COMM,SWAP_Crop,GAMS
UNCUL NON-AG,,N/A
UNCULTIVATED AG,UNCUL,N/A
Urban,,N/A
VEGETABLE,,N/A
VETCH,VETCH,OTHTRK
WALNUT,WALNU,ORCHD
Walnuts,,ORCHD
WATERMELON,WATER,OTHTRK
WHEAT,WHEAT,GRAIN
WHEAT FOR/FOD,WHEAT,GRAIN
WHEAT SEED,,GRAIN
YAM,YAM,OTHTRK
Young Perennials,,N/A
ZUCCHINI,ZUCCH,CUCUR
